Date,Tesla Adjusted Close,Tesla +/-,Facebook Adjusted Close,Facebook +/-,Google Adjusted Close,Google +/-,Netflix Adjusted Close,Netflix +/-,Amazon Adjusted Close,Amazon +/-,Apple Adjusted Close,Apple +/-
2018-01-29,349.529999,-1,185.979996,1,1175.579956,-1,284.589996,-1,1417.680054,1,165.475677,-1
2018-01-30,345.820007,1,187.119995,-1,1163.689941,1,278.799988,-1,1437.819946,1,164.500336,1
2018-01-31,354.309998,-1,186.889999,1,1169.939941,-1,270.299988,-1,1450.890015,-1,164.953522,1
2018-02-01,349.25,-1,193.089996,-1,1167.699951,-1,265.070007,1,1390,1,165.298355,-1
2018-02-02,343.75,-1,190.279999,-1,1111.900024,-1,267.429993,-1,1429.949951,-1,158.126022,-1
2018-02-05,333.130005,1,181.259995,1,1055.800049,1,254.259995,1,1390,1,154.175354,1
2018-02-06,333.970001,1,185.309998,-1,1080.599976,-1,265.720001,-1,1442.839966,-1,160.618591,-1
2018-02-07,345,-1,180.179993,-1,1048.579956,-1,264.559998,-1,1416.780029,-1,157.180222,-1
2018-02-08,315.230011,-1,171.580002,1,1001.52002,1,250.100006,-1,1350.5,-1,152.855148,1
2018-02-09,310.420013,1,176.110001,1,1037.780029,1,249.470001,1,1339.599976,1,154.724808,1
2018-02-12,315.730011,1,176.410004,-1,1051.939941,1,257.950012,1,1386.22998,1,160.956924,1
2018-02-13,323.660004,-1,173.149994,1,1052.099976,1,258.269989,1,1414.51001,1,162.569351,1
2018-02-14,322.309998,1,179.520004,1,1069.699951,1,266,1,1451.050049,1,165.566696,1
2018-02-15,334.070007,1,179.960007,-1,1089.52002,1,280.269989,-1,1461.76001,-1,171.12616,-1
2018-02-16,335.48999,-1,177.360001,-1,1094.800049,1,278.519989,1,1448.689941,1,170.572189,-1
2018-02-20,334.769989,-1,176.009995,1,1102.459961,1,278.549988,1,1468.349976,1,169.998444,-1
2018-02-21,333.299988,1,177.910004,1,1111.339966,-1,281.040009,-1,1482.920044,1,169.226852,1
2018-02-22,346.170013,1,178.990005,1,1106.630005,1,278.140015,1,1485.339966,1,170.641434,1
2018-02-23,352.049988,1,183.289993,1,1126.790039,1,285.929993,1,1500,1,173.6091,1
2018-02-26,357.420013,-1,184.929993,-1,1143.75,-1,294.160004,-1,1521.949951,-1,177.041733,-1
2018-02-27,350.98999,-1,181.460007,-1,1118.290039,-1,290.609985,1,1511.97998,1,176.467987,-1
2018-02-28,343.059998,-1,178.320007,-1,1104.72998,-1,291.380005,-1,1512.449951,-1,176.200882,-1
2018-03-01,330.929993,1,175.940002,1,1069.52002,1,290.390015,1,1493.449951,1,173.114502,1
2018-03-02,335.119995,-1,176.619995,1,1078.920044,1,301.049988,1,1500.25,1,174.311478,1
2018-03-05,333.350006,-1,180.399994,-1,1090.930054,1,315,1,1523.609985,1,174.914902,-1
