Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,24.590000,24.639999,24.420000,24.459999,24.459999,5190300
2018-01-30,24.270000,24.410000,24.090000,24.230000,24.230000,4837700
2018-01-31,24.340000,24.459999,24.020000,24.170000,24.170000,3223800
2018-02-01,23.750000,24.180000,23.610001,24.020000,24.020000,4680900
2018-02-02,23.760000,23.860001,20.680000,22.299999,22.299999,8182900
2018-02-05,22.889999,22.950001,21.040001,21.290001,21.290001,10686100
2018-02-06,21.440001,23.000000,21.309999,22.809999,22.809999,11468200
2018-02-07,22.360001,23.219999,22.350000,22.799999,22.799999,6674100
2018-02-08,22.799999,22.820000,21.480000,21.480000,21.480000,6186200
2018-02-09,21.719999,21.860001,20.480000,21.520000,21.520000,11234100
2018-02-12,21.600000,22.020000,21.500000,21.799999,21.799999,3667800
2018-02-13,21.559999,21.639999,21.340000,21.540001,21.540001,4072500
2018-02-14,21.120001,22.379999,21.110001,22.340000,22.340000,5105300
2018-02-15,22.500000,22.530001,21.980000,22.389999,22.389999,2708000
2018-02-16,22.520000,22.680000,22.250000,22.389999,22.389999,3640500
2018-02-20,21.900000,22.330000,21.889999,22.100000,22.100000,3489000
2018-02-21,22.240000,22.469999,21.990000,22.000000,22.000000,2860600
2018-02-22,22.000000,22.040001,21.660000,21.770000,21.770000,3510900
2018-02-23,21.780001,21.959999,21.590000,21.830000,21.830000,2946700
2018-02-26,21.790001,21.820000,21.450001,21.760000,21.760000,2762700
2018-02-27,21.709999,21.940001,21.420000,21.440001,21.440001,4407900
2018-02-28,21.660000,21.719999,21.190001,21.190001,21.190001,3768000
2018-03-01,20.969999,21.160000,20.290001,20.590000,20.590000,6851300
2018-03-02,20.010000,20.100000,19.719999,20.049999,20.049999,7062400
2018-03-05,19.639999,20.280001,19.610001,20.230000,20.230000,4614500
2018-03-06,21.090000,21.440001,21.070000,21.270000,21.270000,6031800
2018-03-07,21.040001,21.530001,20.990000,21.500000,21.500000,4506400
2018-03-08,21.530001,21.570000,21.150000,21.299999,21.299999,2819100
2018-03-09,21.120001,21.270000,21.049999,21.150000,21.150000,3831100
2018-03-12,21.150000,21.280001,21.080000,21.190001,21.190001,2244300
2018-03-13,21.330000,21.400000,21.080000,21.129999,21.129999,2507200
2018-03-14,21.340000,21.350000,20.889999,20.980000,20.980000,2637800
2018-03-15,21.000000,21.209999,20.920000,21.139999,21.139999,2863900
2018-03-16,21.129999,21.190001,21.010000,21.080000,21.080000,3177300
2018-03-19,21.070000,21.070000,20.580000,20.760000,20.760000,4427400
2018-03-20,20.920000,21.219999,20.920000,21.100000,21.100000,2288100
2018-03-21,21.500000,21.770000,21.459999,21.530001,21.530001,4621900
2018-03-22,21.170000,21.170000,20.480000,20.549999,20.549999,5902900
2018-03-23,20.799999,20.840000,20.209999,20.260000,20.260000,5609600
2018-03-26,20.940001,20.980000,20.370001,20.879999,20.879999,3996300
2018-03-27,20.969999,20.980000,20.180000,20.360001,20.360001,3832400
2018-03-28,20.340000,20.480000,19.879999,19.940001,19.940001,8377700
2018-03-29,20.360001,20.660000,20.280001,20.520000,20.520000,5246300
2018-04-02,20.430000,20.500000,19.590000,19.950001,19.950001,3198900
2018-04-03,20.680000,21.870001,20.639999,21.790001,21.790001,9516600
2018-04-04,21.059999,22.299999,21.040001,22.219999,22.219999,8059300
2018-04-05,22.610001,22.809999,22.400000,22.580000,22.580000,5012800
2018-04-06,22.520000,22.740000,22.030001,22.309999,22.309999,3850400
2018-04-09,22.690001,22.959999,22.549999,22.610001,22.610001,3361000
2018-04-10,23.180000,23.270000,23.010000,23.070000,23.070000,5746000
2018-04-11,22.969999,23.250000,22.820000,22.860001,22.860001,3091000
2018-04-12,23.090000,23.459999,23.090000,23.350000,23.350000,3992900
2018-04-13,23.510000,23.590000,23.230000,23.410000,23.410000,3048100
2018-04-16,23.520000,23.580000,23.340000,23.500000,23.500000,3185700
2018-04-17,24.299999,24.320000,24.040001,24.180000,24.180000,3415700
2018-04-18,24.250000,24.410000,24.040001,24.290001,24.290001,2685300
2018-04-19,24.139999,24.230000,23.730000,23.830000,23.830000,3942400
2018-04-20,23.750000,23.820000,23.450001,23.610001,23.610001,4292900
2018-04-23,23.860001,24.049999,23.709999,23.950001,23.950001,3085900
2018-04-24,24.100000,24.190001,23.670000,23.730000,23.730000,4355100
2018-04-25,23.240000,23.580000,23.070000,23.480000,23.480000,5886700
2018-04-26,24.180000,24.219999,23.440001,23.500000,23.500000,7121200
2018-04-27,23.170000,23.230000,22.459999,22.510000,22.510000,9623000
2018-04-30,22.410000,22.590000,21.770000,21.830000,21.830000,6828500
2018-05-01,22.129999,22.190001,21.530001,21.910000,21.910000,4851100
2018-05-02,22.860001,22.950001,22.580000,22.629999,22.629999,8549600
2018-05-03,22.389999,22.580000,22.139999,22.490000,22.490000,4244500
2018-05-04,22.750000,23.049999,22.680000,22.920000,22.920000,4029800
2018-05-07,22.930000,22.969999,22.790001,22.840000,22.840000,2018900
2018-05-08,22.459999,22.740000,22.450001,22.690001,22.690001,2696100
2018-05-09,22.690001,22.690001,22.209999,22.330000,22.330000,3546800
2018-05-10,22.219999,22.510000,22.180000,22.510000,22.510000,2853800
2018-05-11,22.549999,22.750000,22.469999,22.700001,22.700001,2392000
2018-05-14,22.610001,22.770000,22.549999,22.549999,22.549999,3129900
2018-05-15,22.379999,22.450001,22.209999,22.379999,22.379999,1907500
2018-05-16,22.110001,22.360001,22.040001,22.280001,22.280001,4592500
2018-05-17,22.190001,22.350000,22.120001,22.180000,22.180000,3047200
2018-05-18,21.959999,22.020000,21.450001,21.860001,21.860001,4160500
2018-05-21,22.559999,22.620001,22.280001,22.340000,22.340000,2377700
2018-05-22,22.780001,22.910000,22.600000,22.620001,22.620001,3743400
2018-05-23,22.400000,22.480000,22.219999,22.469999,22.469999,3503100
2018-05-24,22.000000,22.270000,21.709999,22.260000,22.260000,4057800
2018-05-25,21.719999,21.900000,21.590000,21.820000,21.820000,3879600
2018-05-29,20.980000,21.549999,20.840000,20.920000,20.920000,6953700
2018-05-30,21.600000,22.379999,21.500000,22.209999,22.209999,7774300
2018-05-31,22.620001,23.290001,22.469999,23.230000,23.230000,10365800
