Date,Tesla Adjusted Close,TSLA +/-,GM Adjusted Close,GM +/-,Ford Adjusted Close,Ford +/-,Fiat Chrysler Adjusted Close,Fiat Chrysler +/-,Honda Adjusted Close,Honda +/-,Toyota Adjusted Close,Toyota +/-
2018-01-29,349.529999,-1,41.329288,-1,10.629709,-1,24.459999,-1,35.184162,-1,135.21759,1
2018-01-30,345.820007,1,41.021862,-1,10.572354,-1,24.23,-1,34.998573,-1,135.30481,-1
2018-01-31,354.309998,-1,40.743259,1,10.486322,-1,24.17,-1,34.4711,-1,133.657364,1
2018-02-01,349.25,-1,40.762474,-1,10.438527,-1,24.02,-1,34.353882,1,134.510178,-1
2018-02-02,343.75,-1,39.388672,-1,10.237787,-1,22.299999,-1,35.320911,-1,132.397537,-1
2018-02-05,333.130005,1,37.986057,1,9.788509,1,21.290001,1,34.041309,1,127.852478,1
2018-02-06,333.970001,1,40.214874,1,10.285582,0,22.809999,-1,35.320911,-1,134.47139,-1
2018-02-07,345,-1,40.724045,-1,10.285582,-1,22.799999,-1,34.842281,-1,132.649506,-1
2018-02-08,315.230011,-1,39.148499,1,9.970132,1,21.48,1,33.601757,1,130.275223,1
2018-02-09,310.420013,1,39.830593,1,10.065722,1,21.52,1,33.806881,1,132.349091,1
2018-02-12,315.730011,1,40.349373,-1,10.228228,-1,21.799999,-1,34.451569,-1,134.47139,-1
2018-02-13,323.660004,-1,39.772953,1,10.123076,1,21.540001,1,33.797112,1,130.866364,1
2018-02-14,322.309998,1,40.166843,1,10.266463,1,22.34,1,34.256203,1,131.283081,-1
2018-02-15,334.070007,1,40.205265,-1,10.285582,-1,22.389999,0,34.705528,1,131.098953,1
2018-02-16,335.48999,-1,39.475136,-1,10.142195,1,22.389999,-1,34.812977,-1,131.990524,-1
2018-02-20,334.769989,-1,39.167713,-1,10.161314,-1,22.1,-1,34.764137,-1,131.651337,-1
2018-02-21,333.299988,1,38.965969,1,10.132636,1,22,-1,34.607849,1,130.633789,1
2018-02-22,346.170013,1,39.302208,0,10.161314,1,21.77,1,34.744602,1,131.050491,1
2018-02-23,352.049988,1,39.302208,1,10.228228,1,21.83,-1,35.34045,1,132.794876,1
2018-02-26,357.420013,-1,39.907455,-1,10.40985,-1,21.76,-1,35.877686,-1,134.151581,-1
2018-02-27,350.98999,-1,38.59129,-1,10.142195,0,21.440001,-1,35.731167,-1,131.825775,-1
2018-02-28,343.059998,-1,37.80352,-1,10.142195,-1,21.190001,-1,35.252537,-1,130.439972,-1
2018-03-01,330.929993,1,36.304829,-1,9.836304,1,20.59,-1,34.305046,-1,126.360092,1
2018-03-02,335.119995,-1,35.958977,1,9.941454,1,20.049999,1,34.021774,-1,126.553894,1
2018-03-05,333.350006,-1,36.256794,1,10.113518,1,20.23,1,33.972935,1,126.931847,1
2018-03-06,328.200012,1,36.439327,-1,10.161314,0,21.27,1,34.129219,-1,127.280731,-1
2018-03-07,332.299988,-1,36.256794,1,10.161314,-1,21.5,-1,33.9534,1,125.807709,-1
2018-03-08,329.100006,-1,36.722622,0,10.142195,1,21.299999,-1,34.119453,-1,125.55574,1
2018-03-09,327.170013,1,36.722622,-1,10.256905,1,21.15,1,33.845955,1,125.691414,1
2018-03-12,345.51001,-1,36.712921,1,10.333378,-1,21.190001,-1,34.236668,-1,126.311638,-1
2018-03-13,341.839996,-1,36.887596,-1,10.304699,1,21.129999,-1,33.806881,-1,125.982147,0
2018-03-14,326.630005,-1,36.577045,1,10.534119,1,20.98,1,33.797112,1,125.982147,1
2018-03-15,325.600006,-1,36.732323,1,10.581913,1,21.139999,-1,33.924095,1,126.360092,-1
2018-03-16,321.350006,-1,36.819664,-1,10.658386,-1,21.08,-1,33.9534,-1,125.894936,-1
2018-03-19,313.559998,-1,35.917126,-1,10.52456,-1,20.76,1,33.328247,1,123.888901,1
2018-03-20,310.549988,1,35.800674,1,10.50544,1,21.1,1,33.621288,1,125.255325,1
2018-03-21,316.529999,-1,36.470299,-1,10.610591,-1,21.530001,-1,33.689663,-1,125.284386,-1
2018-03-22,309.100006,-1,35.276619,-1,10.276022,-1,20.549999,-1,33.152424,-1,123.094238,-1
2018-03-23,301.540009,1,34.131462,1,10.0944,1,20.26,1,32.146332,1,120.652122,1
2018-03-26,304.179993,-1,34.92725,-1,10.352495,0,20.879999,-1,32.859386,1,123.375275,1
2018-03-27,279.179993,-1,33.840321,1,10.352495,1,20.360001,-1,32.9473,1,124.08271,1
2018-03-28,257.779999,1,34.422604,1,10.381172,1,19.940001,1,33.869862,1,127.552078,1
2018-03-29,266.130005,-1,35.266914,-1,10.591472,-1,20.52,-1,34.174908,-1,128.538025,-1
2018-04-02,252.479996,1,34.704037,1,10.381172,1,19.950001,1,33.456577,1,124.811142,1
2018-04-03,267.529999,1,35.849194,1,10.658386,1,21.790001,1,33.928902,1,126.546417,-1
2018-04-04,286.940002,1,36.907009,-1,10.83045,1,22.219999,1,34.106026,1,125.964706,-1
2018-04-05,305.720001,-1,36.877895,-1,10.849568,-1,22.58,-1,34.32251,-1,125.609764,-1
